MBTI,source,专业名称,专业备注,人数count,分数score,平均分,年份,批次,支持度support,最低位次,最低分,最高分,生源地,科类,累计人数cum,组合/subject_combo,院校名称
,major_line_2023,法学类,法学（卓越法律人才基地。含法学经济学双学士学位项目；含与美国杜兰大学“3+1”双学位项目；含美国康奈尔大学、加拿大麦吉尔大学、德国汉堡大学等校免学费交流项目）,,,595,2023,本科批,,2393,580,0,上海,综合,,,复旦大学
,major_line_2023,哲学类,哲学类（哲学（科学哲学与逻辑学、哲学）（艺术哲学、宗教学等专业。含与英国伯明翰大学“2+2”双学位项目；含比利时根特大学等校免学费交流项目；通过全校选拔，可进入依托哲学学院管理的“政治学、经济学与哲学”）（PPE专业））,,,594,2023,本科批,,2393,580,0,上海,综合,,,复旦大学
,major_line_2023,技术科学试验班,技术科学试验班（拔尖学生培养基地。含微电子科学与工程、智能科学与技术（智能信息与系统、电子信息科学与技术、通信工程、生物医学工程、光电信息科学与工程、信息安全、电子科学与技术、材料化学、材料物理、高分子材料与工程、计算机科学与技术、数据科学与大数据技术、理论与应用力学、飞行器设计与工程、保密技术等专业含本博贯通“光子计划”拔尖人才培养项目；含与澳大利亚国立大学等“2+2”双学位项目，与比利时鲁汶大学联合培养博士双学位项目））,,,594,2023,本科批,,2393,580,0,上海,综合,,,复旦大学
,major_line_2023,经济管理试验班,经济管理试验班（含财务管理）（金融与财务、工商管理）（战略管理、国际商务、人力资源、管理科学与工程）（人工智能、大数据、供应链管理、信息管理与信息系统）（商务智能、云计算、电子商务、会计学、市场营销、统计学）（统计与数据科学等专业。学院配备一对一导师并提供全方位职业发展服务，学生根据个人兴趣和未来发展方向自由选择专业；含美国南加州大学、英属哥伦比亚大学、英国华威大学、法国巴黎高等商学院、新加坡国立大学、加拿大阿尔伯塔大学等校免学费交流项目。其中统计学专业学费为7000元/年）,,,593,2023,本科批,,2393,580,0,上海,综合,,,复旦大学
,major_line_2023,中国语言文学类,中国语言文学类（拔尖学生培养基地。含汉语言文学、汉语言专业。含美国卫斯理学院、德国科隆大学、日本早稻田大学、西澳大利亚大学等校免学费交流项目）,,,592,2023,本科批,,2393,580,0,上海,综合,,,复旦大学
,major_line_2023,自然科学试验班,自然科学试验班（数据技术、大气科学、材料物理、材料化学、电子科学与技术、化学、能源化学、高分子材料与工程、生物科学、生物技术、生态学、环境科学、心理学、理论与应用力学、飞行器设计与工程、光电信息科学与工程等专业。拔尖学生培养基地。含英国伯明翰大学、曼彻斯特大学等“2+2”双学位项目；含美国耶鲁大学、加州大学伯克利分校、日本东京大学等校免学费交流项目）,,,592,2023,本科批,,2393,580,0,上海,综合,,,复旦大学
,major_line_2023,经济学类,经济学类（拔尖学生培养基地。含经济学、经济学）（数理经济方向拔尖项目、经济学）（国际项目UIPE、金融学、国际经济与贸易）（国际经济学、国际经济与贸易）（大数据国际贸易双学位项目、财政学、保险学等专业。含与德国乌尔姆大学、美国威斯康辛大学“3+1+1”本硕直通车项目，与荷兰格罗宁根大学“2+2”双学位项目；含美国麻省理工学院、宾夕法尼亚大学、加州大学伯克利分校等校访学项目；含美国芝加哥大学、加州大学、新加坡国立大学、瑞士苏黎世大学、法国巴黎高等商学院、德国慕尼黑大学、日本东京大学等校免学费交流项目；保险学专业课程）,,,591,2023,本科批,,2393,580,0,上海,综合,,,复旦大学
,major_line_2023,生物科学类,生物科学类（自科试验班，拔尖学生培养基地。含物理学、数据科学与大数据技术、大气科学、材料物理、材料化学、电子科学与技术、化学、能源化学、高分子材料与工程、生物科学、生物技术、生态学、环境科学、心理学、理论与应用力学、飞行器设计与工程、光电信息科学与工程等专业。含英国伯明翰大学、曼彻斯特大学等“2+2”双学位项目；含美国耶鲁大学、加州大学伯克利分校、日本东京大学等校免学费交流项目）,,,590,2023,本科批,,2393,580,0,上海,综合,,,复旦大学
,major_line_2023,外国语言文学类,英语（含英语、翻译专业。含与英国曼彻斯特大学“2+2”双学位项目；含英国华威大学等校免学费交流项目）（语种:英语）,,,589,2023,本科批,,2393,580,0,上海,综合,,,复旦大学
,major_line_2023,新闻传播学类,新闻传播学类（卓越新闻人才计划。含新闻学、广播电视学、传播学、广告学等专业。含与日本早稻田大学“3+1+1”双学位项目；含澳大利亚墨尔本大学、德国慕尼黑大学，以及中国的香港城市大学等校免学费交流项目）,,,588,2023,本科批,,2393,580,0,上海,综合,,,复旦大学
,major_line_2023,历史学类,历史学类（拔尖学生培养基地。含历史学、旅游管理、文物与博物馆学专业。含加拿大女王大学、荷兰布雷达应用科技大学、德国布莱梅雅各布大学、法国赛尔齐蓬多瓦兹大学、日本御茶水女子大学等校免学费交流项目）,,,587,2023,本科批,,2393,580,0,上海,综合,,,复旦大学
,major_line_2023,社会科学试验班,社会科学试验班（含政治学与行政学、行政管理、国际政治、社会学、社会工作等专业。含美国加州大学伯克利分校、华盛顿大学、英国伦敦政治经济学院、新加坡国立大学等校免学费交流项目）,,,587,2023,本科批,,2393,580,0,上海,综合,,,复旦大学
,major_line_2023,核工程类,核工程与核技术（含核物理方向卢鹤绂班。含瑞典隆德大学、日本群马大学等校免学费交流项目）,,,587,2023,本科批,,2393,580,0,上海,综合,,,复旦大学
,major_line_2023,核工程类,核工程与核技术（含核物理方向卢鹤绂班。含瑞典隆德大学、日本群马大学等校免学费交流项目）,,,587,2023,本科批,,2393,580,0,上海,综合,,,复旦大学
,major_line_2023,法学类,法学（卓越法律人才基地。含法学经济学双学士学位项目；含与美国杜兰大学“3+1”双学位项目；含美国康奈尔大学、加拿大麦吉尔大学、德国汉堡大学等校免学费交流项目）,,,595,2023,本科批,,2393,580,0,上海,综合,,,复旦大学
,major_line_2023,哲学类,哲学类（哲学（科学哲学与逻辑学、哲学）（艺术哲学、宗教学等专业。含与英国伯明翰大学“2+2”双学位项目；含比利时根特大学等校免学费交流项目；通过全校选拔，可进入依托哲学学院管理的“政治学、经济学与哲学”）（PPE专业））,,,594,2023,本科批,,2393,580,0,上海,综合,,,复旦大学
